# Informe de distribución de tipos de polen encontrados.
# Generado por "Anotar imágenes". .
# VxC - DISCA - UPV (2017)Informe de distribución de tipos de polen encontrados en
/home/magusti/investigacio/projectes/polen/imatges/Milflores - 3840 x 3072_disca_1.jpg
# Fecha
2017,7,11,2,53,0,3
Total de muestras	1
Etiqueta	#Muestras	Porcentaje
polen 1	1	100
